MES,TASA_EURIBOR_12M
ENE 1999,3.062
Feb-99,3.03
Mar-99,3.046
ABR 1999,2.756
May-99,2.683
Jun-99,2.836
Jul-99,3.03
AGO 1999,3.237
Sep-99,3.301
Oct-99,3.684
Nov-99,3.689
DIC 1999,3.826
ENE 2000,3.949
Feb-00,4.111
Mar-00,4.267
ABR 2000,4.365
May-00,4.849
Jun-00,4.965
Jul-00,5.105
AGO 2000,5.248
Sep-00,5.219
Oct-00,5.218
Nov-00,5.193
DIC 2000,4.881
ENE 2001,4.574
Feb-01,4.591
Mar-01,4.471
ABR 2001,4.481
May-01,4.52
Jun-01,4.312
Jul-01,4.311
AGO 2001,4.108
Sep-01,3.77
Oct-01,3.369
Nov-01,3.198
DIC 2001,3.298
ENE 2002,3.483
Feb-02,3.594
Mar-02,3.816
ABR 2002,3.86
May-02,3.963
Jun-02,3.869
Jul-02,3.645
AGO 2002,3.44
Sep-02,3.236
Oct-02,3.126
Nov-02,3.017
DIC 2002,2.873
ENE 2003,2.705
Feb-03,2.504
Mar-03,2.411
ABR 2003,2.447
May-03,2.252
Jun-03,2.014
Jul-03,2.076
AGO 2003,2.279
Sep-03,2.258
Oct-03,2.303
Nov-03,2.41
DIC 2003,2.381
ENE 2004,2.216
Feb-04,2.163
Mar-04,2.055
ABR 2004,2.163
May-04,2.297
Jun-04,2.404
Jul-04,2.361
AGO 2004,2.302
Sep-04,2.377
Oct-04,2.316
Nov-04,2.328
DIC 2004,2.301
ENE 2005,2.312
Feb-05,2.31
Mar-05,2.335
ABR 2005,2.265
May-05,2.193
Jun-05,2.103
Jul-05,2.168
AGO 2005,2.223
Sep-05,2.219
Oct-05,2.414
Nov-05,2.684
DIC 2005,2.783
ENE 2006,2.833
Feb-06,2.914
Mar-06,3.105
ABR 2006,3.221
May-06,3.308
Jun-06,3.401
Jul-06,3.539
AGO 2006,3.615
Sep-06,3.715
Oct-06,3.799
Nov-06,3.864
DIC 2006,3.921
ENE 2007,4.064
Feb-07,4.094
Mar-07,4.106
ABR 2007,4.253
May-07,4.373
Jun-07,4.505
Jul-07,4.564
AGO 2007,4.666
Sep-07,4.724
Oct-07,4.647
Nov-07,4.607
DIC 2007,4.793
ENE 2008,4.498
Feb-08,4.349
Mar-08,4.59
ABR 2008,4.82
May-08,4.994
Jun-08,5.361
Jul-08,5.393
AGO 2008,5.323
Sep-08,5.384
Oct-08,5.248
Nov-08,4.35
DIC 2008,3.452
ENE 2009,2.622
Feb-09,2.135
Mar-09,1.909
ABR 2009,1.771
May-09,1.644
Jun-09,1.61
Jul-09,1.412
AGO 2009,1.334
Sep-09,1.261
Oct-09,1.243
Nov-09,1.231
DIC 2009,1.242
ENE 2010,1.232
Feb-10,1.225
Mar-10,1.215
ABR 2010,1.225
May-10,1.249
Jun-10,1.281
Jul-10,1.373
AGO 2010,1.421
Sep-10,1.42
Oct-10,1.495
Nov-10,1.54
DIC 2010,1.526
ENE 2011,1.55
Feb-11,1.714
Mar-11,1.924
ABR 2011,2.086
May-11,2.147
Jun-11,2.144
Jul-11,2.183
AGO 2011,2.097
Sep-11,2.067
Oct-11,2.11
Nov-11,2.044
DIC 2011,2.004
ENE 2012,1.837
Feb-12,1.678
Mar-12,1.499
ABR 2012,1.368
May-12,1.266
Jun-12,1.219
Jul-12,1.061
AGO 2012,0.877
Sep-12,0.74
Oct-12,0.65
Nov-12,0.588
DIC 2012,0.549
ENE 2013,0.575
Feb-13,0.594
Mar-13,0.545
ABR 2013,0.528
May-13,0.484
Jun-13,0.507
Jul-13,0.525
AGO 2013,0.542
Sep-13,0.543
Oct-13,0.541
Nov-13,0.506
DIC 2013,0.543
ENE 2014,0.562
Feb-14,0.549
Mar-14,0.577
ABR 2014,0.604
May-14,0.592
Jun-14,0.513
Jul-14,0.488
AGO 2014,0.469
Sep-14,0.362
Oct-14,0.338
Nov-14,0.335
DIC 2014,0.329
ENE 2015,0.298
Feb-15,0.255
Mar-15,0.212
ABR 2015,0.18
May-15,0.165
Jun-15,0.163
Jul-15,0.167
AGO 2015,0.161
Sep-15,0.154
Oct-15,0.128
Nov-15,0.079
DIC 2015,0.059
ENE 2016,0.042
Feb-16,-0.008
